Date,Close,High,Low,Open,Volume
2024/07/11,2415,2416.699951,2378.699951,2378.699951,72
2024/07/12,2414,2414,2391.300049,2399.800049,355
2024/07/15,2422.899902,2436,2422.899902,2430,540
2024/07/16,2462.399902,2462.399902,2427.399902,2427.399902,93
2024/07/17,2454.800049,2473.100098,2454.800049,2472.899902,10
2024/07/18,2451.800049,2466,2451.800049,2466,2
2024/07/19,2395.5,2419.199951,2395.5,2418.800049,15
2024/07/22,2392,2402.100098,2392,2402.100098,18
2024/07/23,2404.600098,2404.600098,2388.699951,2395.800049,41
2024/07/24,2413.300049,2421,2411.600098,2421,6
2024/07/25,2351.899902,2365.5,2351.899902,2365.5,31
2024/07/26,2380,2386.899902,2368.699951,2368.699951,95
2024/07/29,2377.300049,2377.300049,2377.300049,2377.300049,126409
2024/07/30,2405,2409.300049,2373.800049,2380.899902,25944
2024/07/31,2426.5,2447.600098,2402.800049,2407.100098,1313
2024/08/01,2435,2455.100098,2430.399902,2446.699951,690
2024/08/02,2425.699951,2477,2416,2444,550
2024/08/05,2401.699951,2449.800049,2367.399902,2442,334
2024/08/06,2389.100098,2421.800049,2380,2414.5,163
2024/08/07,2390.5,2401,2384.5,2392.199951,130
2024/08/08,2422.199951,2422.800049,2384.300049,2384.300049,201
2024/08/09,2432.100098,2432.100098,2418.5,2422.300049,611
2024/08/12,2462.399902,2469.800049,2432,2432.699951,566
2024/08/13,2466.699951,2470,2456.5,2461,510
2024/08/14,2439.399902,2472.100098,2439.399902,2468,274
2024/08/15,2453.100098,2467.699951,2431.199951,2451.800049,285
2024/08/16,2498.600098,2508,2451.399902,2453.5,197
2024/08/19,2501.800049,2508.5,2487.199951,2508.5,88
2024/08/20,2511.300049,2527.300049,2500.699951,2503.5,187
2024/08/21,2508.399902,2515.399902,2503.899902,2511,96
2024/08/22,2478.899902,2504.100098,2471.100098,2504.100098,210
2024/08/23,2508.399902,2508.399902,2486.5,2486.5,94
2024/08/26,2517.699951,2523.100098,2509.100098,2509.899902,290
2024/08/27,2516,2523.100098,2506.899902,2515.199951,100
2024/08/28,2501,2501,2501,2501,2353
2024/08/29,2525.699951,2525.699951,2503.899902,2504.100098,3966
2024/08/30,2493.800049,2525.399902,2493.800049,2519.5,208
2024/09/03,2489.899902,2501.800049,2476.300049,2501.600098,206
2024/09/04,2493.399902,2493.399902,2483.5,2490.899902,470
2024/09/05,2511.399902,2513.300049,2493.399902,2493.699951,54
2024/09/06,2493.5,2517.899902,2483.699951,2510.300049,96
2024/09/09,2501.800049,2504.699951,2491.300049,2491.300049,96
2024/09/10,2512.300049,2512.300049,2512.300049,2512.300049,5
2024/09/11,2512.100098,2525.800049,2502.300049,2525.800049,90
2024/09/12,2551.199951,2557,2523.399902,2529.100098,132
2024/09/13,2581.300049,2581.800049,2565,2568.800049,31
2024/09/16,2580.399902,2580.399902,2580.399902,2580.399902,28
2024/09/17,2564.300049,2581.800049,2564.300049,2581.199951,22
2024/09/18,2570.699951,2570.699951,2549.199951,2570.699951,25
2024/09/19,2588,2588,2566,2566,99
2024/09/20,2619.899902,2621.800049,2590.399902,2590.399902,17
2024/09/23,2626.5,2626.5,2626.5,2626.5,9
2024/09/24,2651.199951,2662.300049,2625.5,2636.800049,35
2024/09/25,2659.199951,2664.199951,2649.300049,2656.300049,175
2024/09/26,2669.899902,2669.899902,2660.800049,2662.300049,17216
2024/09/27,2644.300049,2672.100098,2641.699951,2670,4228
2024/09/30,2636.100098,2662.100098,2623.199951,2660.899902,973
2024/10/01,2667.300049,2670.899902,2631.399902,2631.399902,153
2024/10/02,2647.100098,2657.199951,2640,2650.600098,72
2024/10/03,2657.100098,2657.100098,2640,2642.800049,354
2024/10/04,2645.800049,2667,2639,2656,114
2024/10/07,2644.800049,2657.399902,2639,2648.699951,284
2024/10/08,2615,2639,2609.300049,2639,687
